Main_Topic,Subtopic,Law_Name,Part,Start_Article,End_Article,Keywords,Description
التشغيل,تشغيل الأشخاص ذوي الإعاقة والأقزام,قانون العمل رقم 14 لسنة 2025,الفصل الأول,17,25,ذوو الإعاقة، الأقزام، التوظيف، نسبة التعيين,ينظم التزامات أصحاب العمل بشأن تشغيل الأشخاص ذوي الإعاقة والأقزام والسجلات والبيانات المطلوبة.
التشغيل,قواعد بيانات العمالة,قانون العمل رقم 14 لسنة 2025,الفصل الأول,25,25,قواعد البيانات، سوق العمل، بيانات العمالة,ينظم التزام المنشآت بتقديم البيانات اللازمة لإنشاء وتحديث قواعد بيانات العمالة ومعلومات سوق العمل.
التشغيل,التشغيل في الداخل والخارج,قانون العمل رقم 14 لسنة 2025,الفصل الثاني,25,30,التشغيل، الداخل، الخارج، التوظيف,ينظم قواعد تشغيل العمال داخل مصر وخارجها والجهات المختصة بذلك.
التشغيل,الجهات المرخص لها بالتشغيل,قانون العمل رقم 14 لسنة 2025,الفصل الثاني,26,27,وزارة العمل، شركات التوظيف، وكالات التشغيل,يحدد الجهات التي يجوز لها مزاولة نشاط إلحاق العمالة وشروط الترخيص.
التشغيل,ترخيص شركات التشغيل,قانون العمل رقم 14 لسنة 2025,الفصل الثاني,26,28,ترخيص، رأس المال، التأمين، الضمان,يوضح شروط منح وتجديد تراخيص شركات إلحاق العمالة والضمانات المالية المطلوبة.
التشغيل,التزامات شركات التشغيل,قانون العمل رقم 14 لسنة 2025,الفصل الثاني,27,28,التزامات، سجلات، إعلان الوظائف، رقابة,يحدد التزامات الشركات المرخص لها والرقابة عليها وتنظيم نشاطها.
التشغيل,المقابل المالي للتشغيل,قانون العمل رقم 14 لسنة 2025,الفصل الثاني,27,28,رسوم التشغيل، مصروفات إدارية، العامل,ينظم المقابل المالي الذي يجوز تقاضيه مقابل خدمات التشغيل ويحظر تحصيل أي مبالغ غير قانونية من العامل.
التشغيل,إلغاء ترخيص شركات التشغيل,قانون العمل رقم 14 لسنة 2025,الفصل الثاني,28,28,إلغاء الترخيص، المخالفات,يحدد الحالات التي يجوز فيها إلغاء أو وقف ترخيص شركات التشغيل.
التشغيل,حظر توريد العمال,قانون العمل رقم 14 لسنة 2025,الفصل الثاني,28,28,توريد العمال، المقاول,يحظر تشغيل العمال عن طريق متعهد أو مقاول لتوريد العمال إلا في الحدود التي يقررها القانون.
التشغيل,الجمعيات والمؤسسات الأهلية,قانون العمل رقم 14 لسنة 2025,الفصل الثاني,29,29,الجمعيات الأهلية، مكاتب التشغيل,ينظم ترخيص الجمعيات والمؤسسات الأهلية بإنشاء مكاتب لتشغيل المتعطلين داخل الدولة.
التشغيل,الإعلان عن الوظائف,قانون العمل رقم 14 لسنة 2025,الفصل الثاني,29,29,الإعلان عن الوظائف، الوظائف الشاغرة,ينظم إجراءات الإعلان عن الوظائف وإخطار الجهة الإدارية المختصة.
التشغيل,تشغيل المصريين بالخارج,قانون العمل رقم 14 لسنة 2025,الفصل الثاني,29,30,العمل بالخارج، عقود العمل، الاتفاقيات,ينظم إجراءات توفير فرص العمل بالخارج واعتماد العقود والاتفاقيات ومتابعة تنفيذها.
التشغيل,التشغيل الإلكتروني,قانون العمل رقم 14 لسنة 2025,الفصل الثاني,30,30,منصات التوظيف، التشغيل الإلكتروني، ترخيص,ينظم ممارسة نشاط إلحاق العمالة عبر المواقع والمنصات الإلكترونية وشروط الترخيص لها.
التشغيل,متابعة تشغيل العمالة بالخارج,قانون العمل رقم 14 لسنة 2025,الفصل الثاني,30,30,العمالة بالخارج، الاتفاقيات، عقود العمل,ينظم متابعة تنفيذ الاتفاقيات والتعاقدات الخاصة بالعمالة المصرية بالخارج، وآليات الإشراف عليها
التشغيل,التشغيل الإلكتروني,قانون العمل رقم 14 لسنة 2025,الفصل الثاني,30,30,التشغيل الإلكتروني، منصات التوظيف، الترخيص,ينظم مزاولة نشاط إلحاق العمالة عبر المواقع والمنصات الإلكترونية وشروط الترخيص
تشغيل النساء,المساواة في العمل,قانون العمل رقم 14 لسنة 2025,الفصل الثالث,31,31,تشغيل النساء، المساواة، الأجر المتساوي,يقرر مبدأ المساواة بين الرجال والنساء في العمل والأجر، مع تحديد الأعمال التي يحظر تشغيل النساء فيها لحماية الأمومة والسلامة المهنية.
تشغيل النساء,إجازة الوضع,قانون العمل رقم 14 لسنة 2025,الفصل الثالث,31,32,إجازة الوضع، الحمل، الأمومة,ينظم مدة إجازة الوضع، أجرها، وعدد مرات استحقاقها، وحقوق العاملة أثناء الحمل وبعد الولادة.
تشغيل النساء,العودة إلى العمل بعد الولادة,قانون العمل رقم 14 لسنة 2025,الفصل الثالث,32,33,العودة للعمل، حماية العاملة، الفصل,ينظم حق العاملة في العودة إلى وظيفتها ويحظر فصلها بسبب الحمل أو إجازة الوضع إلا وفق الحالات القانونية.
تشغيل النساء,رعاية الطفل,قانون العمل رقم 14 لسنة 2025,الفصل الثالث,33,35,رعاية الطفل، الرضاعة، حضانة الأطفال,ينظم حقوق العاملة المتعلقة برعاية الطفل، وفترات الرضاعة، والتزامات صاحب العمل تجاه دور الحضانة.
تشغيل الأطفال,تشغيل الأطفال والأحداث,قانون العمل رقم 14 لسنة 2025,الفصل الرابع,35,40,تشغيل الأطفال، الحد الأدنى للسن، الأحداث,ينظم السن القانوني للعمل، وضوابط تشغيل الأطفال والأحداث، والأعمال المحظورة عليهم.
تشغيل الأطفال,ساعات العمل والحماية,قانون العمل رقم 14 لسنة 2025,الفصل الرابع,40,43,ساعات العمل، الأعمال الخطرة، الحماية,يحدد ساعات العمل المسموح بها للأطفال، وفترات الراحة، والقيود الخاصة بحمايتهم.
علاقات العمل الفردية,عقد العمل الفردي,قانون العمل رقم 14 لسنة 2025,الكتاب الثالث,43,48,عقد العمل، بيانات العقد، مدة العقد,ينظم أحكام عقد العمل الفردي، وشروطه، وبياناته الأساسية، وأنواع العقود.
علاقات العمل الفردية,فترة الاختبار,قانون العمل رقم 14 لسنة 2025,الكتاب الثالث,48,49,فترة الاختبار، العامل، صاحب العمل,يحدد الأحكام المنظمة لفترة الاختبار ومدتها والقيود المتعلقة بها.
علاقات العمل الفردية,التزامات العامل,قانون العمل رقم 14 لسنة 2025,الكتاب الثالث,49,51,واجبات العامل، المحافظة على أسرار العمل، الانضباط,يوضح الالتزامات الأساسية التي يجب على العامل الالتزام بها أثناء تنفيذ عقد العمل.
علاقات العمل الفردية,التزامات صاحب العمل,قانون العمل رقم 14 لسنة 2025,الكتاب الثالث,51,53,التزامات صاحب العمل، بيئة العمل، الحقوق,يحدد الالتزامات القانونية لصاحب العمل تجاه العامل أثناء سريان علاقة العمل.
الأجور,تنظيم الأجور,قانون العمل رقم 14 لسنة 2025,الباب الخاص بالأجور,53,57,الأجر، الحد الأدنى للأجور، صرف الأجر,ينظم تعريف الأجر، قواعد صرفه، وضمان حصول العامل على حقوقه المالية.
الأجور,حماية الأجر,قانون العمل رقم 14 لسنة 2025,الباب الخاص بالأجور,57,59,حماية الأجر، الخصومات، الحجز,ينظم القيود على خصم الأجر أو الحجز عليه، وضمان الحد الأدنى لحقوق العامل المالية.
ساعات العمل,ساعات العمل اليومية,قانون العمل رقم 14 لسنة 2025,باب ساعات العمل,59,63,ساعات العمل، الراحة، العمل الإضافي,يحدد الحد الأقصى لساعات العمل اليومية والأسبوعية، وفترات الراحة والعمل الإضافي.
ساعات العمل,تنظيم جداول العمل,قانون العمل رقم 14 لسنة 2025,باب ساعات العمل,63,64,جداول العمل، يوم الراحة، الإخطار,ينظم التزام صاحب العمل بإعلان جداول ساعات العمل وأيام الراحة الأسبوعية.
الإجازات,الإجازة السنوية,قانون العمل رقم 14 لسنة 2025,باب الإجازات,64,67,الإجازة السنوية، الرصيد، الاستحقاق,ينظم مدة الإجازة السنوية، وكيفية استحقاقها، وضوابط الحصول عليها.
الإجازات,الإجازات الخاصة,قانون العمل رقم 14 لسنة 2025,باب الإجازات,67,68,الإجازات الرسمية، الامتحانات، المناسبات,ينظم الإجازات التي يستحقها العامل بخلاف الإجازة السنوية.
انتهاء عقد العمل,الإخطار بإنهاء العقد,قانون العمل رقم 14 لسنة 2025,باب انتهاء عقد العمل,68,69,إنهاء العقد، الإخطار، مهلة الإخطار,ينظم قواعد الإخطار قبل إنهاء عقد العمل والحقوق المترتبة على عدم الالتزام به.
انتهاء عقد العمل,التعويض عن الفصل غير المشروع,قانون العمل رقم 14 لسنة 2025,باب انتهاء عقد العمل,69,70,فصل تعسفي، تعويض، إنهاء العقد,ينظم حق العامل في التعويض عند إنهاء عقد العمل دون سبب مشروع، والحالات التي تعد من أسباب الفصل غير المشروع.
انتهاء عقد العمل,إنهاء الخدمة بسبب الغياب,قانون العمل رقم 14 لسنة 2025,باب انتهاء عقد العمل,70,70,الغياب، الانقطاع عن العمل، الإنذار، الاستقالة الضمنية,يحدد الحالات التي يعتبر فيها العامل مستقيلاً بسبب الغياب غير المبرر، مع اشتراط إنذار العامل قبل اعتبار خدمته منتهية.
انتهاء عقد العمل,الاستقالة وإجراءات قبولها,قانون العمل رقم 14 لسنة 2025,باب انتهاء عقد العمل,70,70,الاستقالة، قبول الاستقالة، العدول عن الاستقالة,ينظم كيفية تقديم الاستقالة واعتمادها، وميعاد قبولها، وحق العامل في العدول عنها خلال المدة القانونية.
انتهاء عقد العمل,إنهاء العقد بسبب إخلال صاحب العمل,قانون العمل رقم 14 لسنة 2025,باب انتهاء عقد العمل,70,70,إخلال صاحب العمل، إنهاء العقد، الاعتداء، التعويض,يجيز للعامل إنهاء عقد العمل إذا أخل صاحب العمل بالتزاماته الجوهرية أو وقع اعتداء عليه، ويعتبر الإنهاء في هذه الحالة بمثابة فصل غير مشروع من جانب صاحب العمل.
انتهاء عقد العمل,انتهاء العقد بالوفاة,قانون العمل رقم 14 لسنة 2025,باب انتهاء عقد العمل,70,71,وفاة العامل، وفاة صاحب العمل، مستحقات الأسرة,يحدد أثر وفاة العامل أو صاحب العمل على عقد العمل، مع تنظيم المستحقات المالية وتعويضات أسرة العامل ونفقات الجنازة.
انتهاء عقد العمل,انتهاء العقد بسبب العجز,قانون العمل رقم 14 لسنة 2025,باب انتهاء عقد العمل,71,72,العجز الكلي، العجز الجزئي، نقل العامل,ينظم إنهاء العقد في حالة العجز الكلي، ويلزم صاحب العمل بنقل العامل إلى وظيفة مناسبة إذا كان العجز جزئياً وتوافرت وظيفة ملائمة.
انتهاء عقد العمل,التقاعد وسن انتهاء الخدمة,قانون العمل رقم 14 لسنة 2025,باب انتهاء عقد العمل,71,72,سن التقاعد، الستون عاماً، انتهاء الخدمة,يحدد الحد الأدنى لسن التقاعد، ويبين الحالات التي يجوز فيها إنهاء عقد العمل بسبب بلوغ العامل سن الستين.
انتهاء عقد العمل,مكافأة ما بعد سن الستين,قانون العمل رقم 14 لسنة 2025,باب انتهاء عقد العمل,72,72,مكافأة نهاية الخدمة، ما بعد الستين، سنوات الخدمة,يحدد قيمة المكافأة المستحقة للعامل عن مدة خدمته بعد سن الستين إذا لم يكن مستحقاً لمزايا تأمينية عن تلك الفترة.
انتهاء عقد العمل,إنهاء العقد بسبب المرض,قانون العمل رقم 14 لسنة 2025,باب انتهاء عقد العمل,72,72,المرض، الإجازة المرضية، إنهاء العقد,يحظر إنهاء خدمة العامل بسبب المرض إلا بعد استنفاد الإجازات المرضية والسنوية، مع إلزام صاحب العمل بالإخطار المسبق.
انتهاء عقد العمل,إنهاء العقد بسبب الحكم الجنائي,قانون العمل رقم 14 لسنة 2025,باب انتهاء عقد العمل,72,72,جناية، جريمة مخلة بالشرف، إنهاء الخدمة,يجيز لصاحب العمل إنهاء العقد إذا صدر حكم نهائي بعقوبة جناية أو جريمة مخلة بالشرف أو الأمانة، ما لم يوقف تنفيذ العقوبة.
انتهاء عقد العمل,شهادة الخبرة ومستندات العامل,قانون العمل رقم 14 لسنة 2025,باب انتهاء عقد العمل,72,73,شهادة الخبرة، نهاية الخدمة، مستندات العامل,يلزم صاحب العمل بمنح العامل شهادة خبرة وشهادة ببيانات الخدمة ورد جميع الأوراق والمستندات الخاصة به عند انتهاء العلاقة العمالية.
علاقات العمل الجماعية,المفاوضة الجماعية,قانون العمل رقم 14 لسنة 2025,الكتاب الرابع,73,76,المفاوضة الجماعية، الاتفاق الجماعي، الحوار الاجتماعي,ينظم قواعد وإجراءات المفاوضة الجماعية بين أصحاب الأعمال والمنظمات النقابية بهدف تحسين شروط وظروف العمل وتسوية الخلافات.
علاقات العمل الجماعية,اتفاقيات العمل الجماعية,قانون العمل رقم 14 لسنة 2025,الكتاب الرابع,76,79,اتفاقية العمل الجماعية، تسجيل الاتفاقية، التنفيذ,يحدد شروط إبرام اتفاقيات العمل الجماعية، واعتمادها، ومدتها، وآثارها القانونية على أطرافها.
المنازعات الجماعية,تسوية المنازعات الجماعية,قانون العمل رقم 14 لسنة 2025,الكتاب الرابع,79,82,المنازعات الجماعية، التوفيق، الوساطة,ينظم وسائل التسوية الودية للمنازعات الجماعية من خلال التوفيق والوساطة قبل اللجوء إلى التحكيم أو الإضراب
المنازعات الجماعية,التحكيم في منازعات العمل,قانون العمل رقم 14 لسنة 2025,الكتاب الرابع,82,84,التحكيم، هيئة التحكيم، النزاعات العمالية,يحدد إجراءات اللجوء إلى التحكيم، وتشكيل هيئة التحكيم، وآلية الفصل في المنازعات الجماعية بين العمال وأصحاب الأعمال.
الإضراب,تنظيم الإضراب السلمي,قانون العمل رقم 14 لسنة 2025,الكتاب الرابع,84,85,الإضراب، الإخطار، الضوابط القانونية,ينظم حق العمال في الإضراب السلمي، والشروط والإجراءات الواجب اتباعها قبل البدء فيه، والقيود التي تضمن عدم الإضرار بالمصلحة العامة.
الإضراب,آثار الإضراب المشروع,قانون العمل رقم 14 لسنة 2025,الكتاب الرابع,85,86,الإضراب، تعليق العمل، الحقوق، الالتزامات,يوضح الآثار القانونية المترتبة على الإضراب المشروع، والالتزامات الواقعة على العمال وأصحاب الأعمال أثناء فترة الإضراب.
السلامة والصحة المهنية,أهداف السلامة والصحة المهنية,قانون العمل رقم 14 لسنة 2025,الكتاب الخامس,86,87,السلامة المهنية، الصحة المهنية، بيئة العمل,يحدد المبادئ العامة لحماية العامل من مخاطر بيئة العمل، وضرورة توفير بيئة عمل آمنة وصحية
السلامة والصحة المهنية,التزامات صاحب العمل بالسلامة,قانون العمل رقم 14 لسنة 2025,الكتاب الخامس,87,89,معدات الوقاية، المخاطر المهنية، الوقاية,يحدد التزامات صاحب العمل بتوفير وسائل الوقاية الشخصية والجماعية، واتخاذ التدابير اللازمة لمنع إصابات العمل.
السلامة والصحة المهنية,التزامات العامل,قانون العمل رقم 14 لسنة 2025,الكتاب الخامس,89,90,تعليمات السلامة، معدات الوقاية، المخالفات,يوجب على العامل الالتزام بتعليمات السلامة والصحة المهنية والمحافظة على أدوات الوقاية وعدم إساءة استخدامها.
السلامة والصحة المهنية,لجان السلامة والصحة المهنية,قانون العمل رقم 14 لسنة 2025,الكتاب الخامس,90,91,لجنة السلامة، ممثلو العمال، التفتيش,ينظم تشكيل لجان السلامة والصحة المهنية داخل المنشآت واختصاصاتها في متابعة تطبيق إجراءات الوقاية.
السلامة والصحة المهنية,الفحص والتفتيش,قانون العمل رقم 14 لسنة 2025,الكتاب الخامس,91,92,التفتيش، الرقابة، المخالفات,يحدد صلاحيات الجهات المختصة في التفتيش على المنشآت للتأكد من الالتزام بمعايير السلامة والصحة المهنية.
تأمين بيئة العمل,الوقاية من المخاطر الفيزيائية,قانون العمل رقم 14 لسنة 2025,الكتاب الخامس,92,93,الضوضاء، الحرارة، الإشعاع، الاهتزاز,ينظم الإجراءات الواجب اتخاذها لحماية العاملين من المخاطر الفيزيائية داخل بيئة العمل
تأمين بيئة العمل,الوقاية من المخاطر الكيميائية والبيولوجية,قانون العمل رقم 14 لسنة 2025,الكتاب الخامس,93,94,المواد الكيميائية، المواد الخطرة، التلوث,يحدد ضوابط تداول المواد الخطرة ووسائل الوقاية من التعرض للعوامل الكيميائية والبيولوجية.
تأمين بيئة العمل,خطط الطوارئ والإخلاء,قانون العمل رقم 14 لسنة 2025,الكتاب الخامس,94,95,الطوارئ، الإخلاء، الحرائق، الإسعافات,يلزم المنشآت بإعداد خطط للطوارئ والإخلاء وتوفير وسائل مكافحة الحرائق والإسعافات الأولية.
التفتيش على العمل,اختصاصات مفتشي العمل,قانون العمل رقم 14 لسنة 2025,الكتاب السادس,95,98,مفتش العمل، التفتيش، الرقابة,يحدد اختصاصات مفتشي العمل، وصلاحياتهم في دخول المنشآت وفحص السجلات والتحقق من تطبيق القانون.
التفتيش على العمل,واجبات أصحاب الأعمال أثناء التفتيش,قانون العمل رقم 14 لسنة 2025,الكتاب السادس,98,99,التعاون، المستندات، السجلات,يوجب على أصحاب الأعمال تقديم التسهيلات اللازمة للمفتشين وتمكينهم من أداء مهامهم.
العقوبات,العقوبات العامة,قانون العمل رقم 14 لسنة 2025,الكتاب السابع,99,103,العقوبات، الغرامات، المخالفات,يحدد العقوبات المقررة على مخالفة أحكام القانون، بما في ذلك الغرامات والعقوبات الجنائية بحسب نوع المخالفة.
العقوبات,العقوبات الخاصة بالتشغيل,قانون العمل رقم 14 لسنة 2025,الكتاب السابع,103,105,التشغيل، العمالة، الترخيص، الغرامة,ينظم العقوبات الخاصة بمخالفة أحكام التشغيل والتشغيل بدون ترخيص أو تحصيل مبالغ بالمخالفة للقانون.
العقوبات,عقوبات السلامة والصحة المهنية,قانون العمل رقم 14 لسنة 2025,الكتاب السابع,105,107,السلامة المهنية، إصابات العمل، الغرامات,يحدد العقوبات المترتبة على مخالفة قواعد السلامة والصحة المهنية وعدم توفير وسائل الوقاية للعاملين.
العقوبات,العقوبات الخاصة بتشغيل النساء والأطفال,قانون العمل رقم 14 لسنة 2025,الكتاب السابع,107,109,تشغيل النساء، تشغيل الأطفال، الحماية,يفرض عقوبات على مخالفة الأحكام الخاصة بحماية النساء والأطفال والأحداث في بيئة العمل
الأحكام الختامية,اللوائح والقرارات التنفيذية,قانون العمل رقم 14 لسنة 2025,الأحكام الختامية,109,110,اللائحة التنفيذية، القرارات الوزارية، التنفيذ,ينظم إصدار اللائحة التنفيذية والقرارات اللازمة لتطبيق أحكام القانون خلال المدد المحددة.
الأحكام الختامية,إلغاء القوانين السابقة,قانون العمل رقم 14 لسنة 2025,الأحكام الختامية,110,111,الإلغاء، قانون العمل السابق، النفاذ,يحدد القوانين والأحكام التي تم إلغاؤها أو استبدالها بموجب قانون العمل الجديد.
الأحكام الختامية,نشر القانون والعمل به,قانون العمل رقم 14 لسنة 2025,الأحكام الختامية,111,112,النشر، الجريدة الرسمية، سريان القانون,يحدد تاريخ نشر القانون في الجريدة الرسمية وموعد بدء العمل بأحكامه وسريانها.
